OBSRVTN_NB,DATETIME_DTM,PNT_NM,QUALIFIER_TXT,PNT_ATRISKNOTES_TX,PNT_ATRISKFOLWUPNTS_TX
219894,3/3/2022 13:56,All applicable work procedures are followed,"Procedure being followed, work stopped",Pole setting policy was not followed to the fullest. [NAME] was discussed with all crew members. Additional phases and pole guard was required for maximum safety.,
330759,3/16/2023 13:23,Housekeeping - Generation,"Cleanliness, Job site hazards, Other - Housekeeping","Viewed loose trash and buckets, filters needing drained, containments and totes full and needing drained, and viewed a tote that was labeled a corrosive and scale inhibitor and it had used oil in it. I discussed that this needed to be triple rinsed and all the old labels taken off before use of oil being placed in it. I also viewed a riocide is2 drum in the area and asked that it be stored in another area, which is in renovation and will be placed in that different area. All other housekeeping has been advised and in process of being addressed.",
330226,3/15/2023 9:35,PPE - Workforce,AEP Required (Standard),Pinnacle employee was working on drill rig without safety glasses. [NAME] put them on when he was asked about them.,
116486,6/25/2021 8:20,Complete job briefing given (Forestry),All members of team present,"[NAME] was doing the job briefing in his truck, we stopped that and had foreman get out of truck and do job briefing with his grounds person. Informed both the GF and safety. [NAME] finished job briefing at 9: 30am, first job site of the day. Visited with CUF and GF about man power utilization and what we can do the get more efficient.",
319171,2/8/2023 13:06,Traffic Control - Telecom,Work areas and drop zones barricaded - Motion,"Road Safe Flagger was set up in a blind sided curve flagging traffic with his stop and go paddle, with No out to separate his self from on coming traffic,.","I had Road safe reposition his company vehicle 100 past the curve in a straight away in a safer location, where he was more visible to vehicle traffic."
414164,11/16/2023 11:19,Equipment - Tools &Equipment,Other - Equipment,"As crew was pushing a fish tape through conduits between trenway I noticed it was a metallic one, I stopped the job",I explained the hazards involved in using a metallic fish tape in an energized substation. They had miscommunications as far as which one to use. They immediately replaced it with a fiber glass one and continued the cable pulling
35300,5/12/2020 10:30,Vehicle Operating Condition,Other - Vehicle Operating Condition,The extended reach bucket the crew was using developed a hydraulic leak as the employee was booming down,
8482,7/25/2019 10:00,Fall protection used when required (Forestry),Other - Fall protection,D rings of harness were starting to pit and corrode. Talked with foreman and they got the individual a new harness.,
194028,11/18/2021 9:20,Vehicle Operating Condition (Forestry),Other - Vehicle Operating Condition,"Bucket truck traveling on Hwy 77 with unsecure boom. Further discovered boom strap of said truck not operable and in need of repair. Upon further observation discovered chipper safety chains in need of repair and proper adjustment of slack. Safety chain had been twisted to take up slack of safety chain. Discussed proper way to adjust slack of chain ( NO twisting of chains ). Once safety chain was un twisted, 2 - 3 links discovered had been worn to 1 / 2 the size of the original size. Break away break cable frayed and in need of repair. Chipper disconnected from bucket truck and taken out of service until repairs made. Conducted safety stand down with crews to discuss issues found and opportunities for improvement.",
292766,11/1/2022 8:33,Pre-Job Briefing,Special precautions identified,[NAME] did not have the AEP pre job briefing with SIF icons. They had their own version which were not AEP approved.,[NAME] was provided PDFs to print copies for themselves.
350404,5/9/2023 12:02,Walking and Working areas,"Clear of ruts, mud, snow, ice, etc. (Slips, trips and falls)","[NAME] steel poles had been set but not completely backfilled before crew moved on to the next structure, leaving a gap between the side of the drilled excavation and the pole. [NAME] was advised to barricade these areas whenever moving on to the next structure prior to backfilling.",
251053,6/14/2022 10:20,"Did you recognize additional slip, trip, or fall hazards that had not already been recognized and mitigated? If so, please select or describe these hazards in the At-Risk notes.","Ascending/Descending, Other slip, trip, fall: please describe additional hazards","[NAME] members were reminded of slip & trip hazards as the lineman parked his bucket off to the side of the truck instead of in the cradle and got out. Also an apprentice decided to jump over a chain linked fence instead of walking around, so they both were reminded of taking precautions and not getting in a hurry.",
477520,7/10/2024 13:40,PPE,Safety glasses adequate,i advised one lineman he needed to get appropriate safety glasses on. lineman understood and said he would take care of it.,
266661,8/11/2022 7:48,Digging/Permits,"Permit locates current - Digging, Utilizing approved digging methods, Valid dig permit",After drilling the pier the a hole cover was too small and looked marginal to support an individuals weight. Thm,Spoke with the supervisor and he immediately had it replace with a larger hole cover
282476,9/29/2022 9:30,Cover up activities,Installed in proper sequence,[NAME] Phila crew was setting a new pole to replace an existing. B200s were in bucket. LMAs on ground coached the B200s on correct coverup and sequence. They had covered primary but not neutral.,
55700,9/24/2020 9:00,Workplace Conditions Addressed (Forestry),Other - Workplace Conditions,[NAME] working inside a salvage / junk yard with lots of hazards around and did not have a good plan to mitigate them.,
136229,8/31/2021 8:32,Opportunities To be More Effective,Improve Planning,There were 3 work groups working on 3 different items. They were each focused their tasks. Prompted some discussion on the items checked and identified some additional safety measures to put intoplace.,
286847,10/12/2022 8:45,"Did you recognize additional sprain or strain hazards that had not already been recognized and mitigated? If so, please select or describe these hazards in the At-Risk notes.",Body mechanics,Trimmer was in bucket trying to start a big saw inside bucket. Trimmer was struggling to start and putting himself in an awkward position. All stop was called covered using tree to start saw outside of bucket.,
382958,8/14/2023 11:10,Personal Safety (Forestry),"Line of fire, Rushing","Bucket operator needed a hook saw to remove some limbs off of tree safely, so he asked spotter to get him a hook saw because it wasn't available in the bucket. Groundman entered the drop zone and threw the hook saw up to the operator around 20' into the air. I discussed with the groundman the importance of letting the operator fly to the ground to get the tool he needs. We also talked about what if the tool would have not been caught and he was standing underneath the bucket like he was and the hook saw came back down on him.",
211574,2/5/2022 16:00,Correct PIPE,Worn when required,Coached one employee on handling conductors without rubber on feet or hands. Employee agreed and gladly complied.,
362311,6/13/2023 9:30,Personal Safety (Forestry),Line of fire,Flagger on the leading end of the TTCZ was standing right against the shadow vehicle. [NAME] had no escape route.,
471115,6/12/2024 12:25,JSHA Review,Employees reviewed and acknowledged the JSHA immediately after lunch and/or after significant break,[NAME] did not review Job briefing / THA after lunch. Showed foreman where to check / Initial after lunch / significant break.,
384385,8/21/2023 10:48,THA,Hazards and Mitigation Controls Identified,"Mitigations where documented, but in the hazard section of the THA, it. Only documented the SIF icon abbreviations for the hazard.",Coached crew lead on documenting the hazards associated with the SIF icons not just the SIF icons that associated with the hazards.
350464,5/2/2023 10:27,Workplace Conditions Addressed,Line of fire,Employee was standing on the edge of the road under the wire we were getting ready to transfer. I asked employee to move locations so he wouldn`t be in the line of fire.,
24423,3/3/2020 13:34,Tools and equipment used correctly (Forestry),Equipment used properly,"[NAME] was observed using his trim saw to remove limbs within MAD. This was discussed with the fill in General [NAME] [NAME] [NAME] and he was going to have a bigger discussion with the entire lot, which he did.",
217795,3/7/2022 9:10,Effective Communication,"3-Way Communication, Clear and effective",discussed with the apprentice why you have to check for cap bank being shunted before beginning work,
222203,3/1/2022 11:30,Complete job briefing given,911 Location,[NAME] had a good briefing except for a good location to provide to emergency responders. I coached the crew on the importance of having a location / address easily available if needed.,
294468,11/8/2022 14:30,Appropriate work area traffic control (Forestry),"Appropriate number of signs out, Appropriate signs out, Cones compliant","Upon my arrival, two buckets in road on [NAME] [NAME], narrow, dead end, low volume road. No signs nor cones for traffic coming off [NAME] Road ( busy road ). Also, blind curve leading up to buckets. Had crews hop off road and coached on work zone. [NAME] redeployed with signs and cones for a safe site.",
218698,3/8/2022 9:30,"Did you recognize additional slip, trip, or fall hazards that had not already been recognized and mitigated? If so, please select or describe these hazards in the At-Risk notes.","Other slip, trip, fall: please describe additional hazards","The job site was congested with scrap materials and debris from the new construction. We worked with the crew, and together removed the scrap and material that was creating STF hazards.",
177098,9/28/2021 13:36,Vehicle Set-up Correct,Operator watching outriggers deploy,The operator did not watch the outriggers down. The outriggers were verified down and secure before operating the boom.,
442858,3/7/2024 11:30,Equipment used properly within load and operating tolerances,Proper rigging,Discussed improper rigging of a crew member placing winch line around rubber line hose. We discussed that a link stick would be the correct choice for the application.,
432245,1/30/2024 11:30,Fuel Containers and Fuel Storage,"Metal Safety cans properly labeled with contents, No Smoking signage, Other - Fuel Containers and Fuel Storage","1. Observed Gas Can That Were Not Labeled As Required. 2. Observed Diesel Slip Tank In [NAME] Truck That Was Not Labeled With Content And Did Not Have The Required No Smoking Placard 3. Observed Fire Extinguisher With No Annual Inspection & The Last Monthly Inspection Was Dated [NAME] 2022, Also The Fire Extinguisher Had Been Discharged.","1. Advised Sub - Contractor Supervisor On The Requirements Of Labeling All Containers To Include Gas Containers ( Cans ). 2. Advised Sub - Contractor Supervisor On The Requirements Of Labeling The Diesel Slip Tank With A Diesel Placard & A No Smoking Placard. 3. Advised Sub - Contractor On Concerning The Fire Extinguisher Not Having An Annual Inspection As Required, Also Advised The Supervisor Concerning The Monthly Inspection Requirements, And That The Fire Extinguisher Had Been Discharged. [NAME] Contractor & Site TCR Were Informed Of The OFI's, [NAME] Supervisor & Sub - Contractor To Correct The OFI's."
1143,1/24/2020 14:47,Workplace Conditions Addressed,Other - Workplace Conditions,found standing water on the floor next to the truck area wash sink. LCS stated the ice machine was leaking and needed to be repaired. I cleaned the water up and will turn into DSS to have repairs followed through with.,
385247,8/22/2023 9:15,Vehicle Set-up Correct,Wheel chocks used,Two trucks did not have wheel chocks. [NAME] and supervision asked to get with garage to obtain them.,
30741,4/15/2020 15:00,Correct work area traffic control,"Appropriate number of signs out, Appropriate signs out, Cones compliant, Other - Work Area Protection",No work zone protection area was set up as needed - spoke with GF and corrected at time of observation,
84067,3/8/2021 14:00,Fire extinguisher inspection up to date and was set off when required,"Fire extinguisher charged, Fire extinguisher on truck, Inspection up to date",Fire extinguisher need to be inspected and recharged were told to put an inspection monthly check sticker,
346778,5/1/2023 8:00,PPE - Workforce,AEP Required (Standard),Sub - contracted crane operator was off of equipment walking through the station without wearing AEP required hi - viz outer later. Notified crew foreman and operator was asked to return to his equipment while waiting. Reminded crew foreman to maintain positive control of their sub - contracted employees.,
320802,2/14/2023 13:58,Handheld Grinder Usage,Handheld Grinder Usage - Other,"Employee was not using secondary handle on grinder, I asked him to always use the secondary handle, If he has to remove it use both hands to control the grinder.",
102480,5/6/2021 9:00,All applicable work procedures are followed,"Procedure being followed, work stopped",THE CREW MEMBER WORKING THE BUCKET WAS REMINDED TO KEEP HIS RUBBER GLOVES ON WHILE WORKING ALOFT. THE JOB DID NOT REQUIRE TO REPLACE THE POT HEADS JUST TO UNINSTALL THEM FROM THE BRACKET AND INSTALL CONDUIT BACK OVER IT TO RAISE IT UP THEN REINSTALL THEM ON THE BRACKET. HE COMPLIED FROM THAT POINT ON.,
236640,4/28/2022 11:59,Personal Safety,Mind on Task / Engaged,One of the crew members was sitting in the truck for a extended period of time leaving the other crew member to flag both ends of the work zone.,
138140,9/25/2019 10:15,Correct work area traffic control,"Appropriate signs out, Tapers and buffers compliant","No trapper at the south side of the work area, which was in the [NAME] Bound lane. Also the [NAME] was coached to add an additional [NAME] Zone sign on the north side of the intersection to notify turning traffic that might not see the other sign across the intersection.",
451804,4/5/2024 1:10,Qualified observer (Forestry),"Clear communication, Line of sight, Observer engagement, Primary observer not using cell phone",The primary observers were talking and not fully engaged. The observer used phone while the trimmer was aloft.,
362960,6/16/2023 11:10,Housekeeping - Generation,"Job site hazards, Other - Housekeeping",Observed cylinders stored and staged together and secured with duct tape. This is in the process of being communicated and addressed.,
6716,6/4/2019 10:00,Personal Safety (Forestry),Other - Personal Safety,"Witnessed trimmer not keeping fingers wrapped tightly on top handle while cutting, had a conversation with him about that and he agrees to work on that.",
265282,8/5/2022 16:15,Walking and Working areas,Other - Walking and Working areas,"Covers arent in place, and no barricades are present. This is a widely traveled work area that has potential to cause incident or injury",
334555,3/22/2023 14:01,JHA-JSA Generation,"All employee briefed on potential Hazards, Discussion include overexertion hazards for the task being performed",To get in the needed position for ignitor removal it was very difficult to stay inside the ladder rails. We had an extra person hold the ladder to insure the ladder could not tilt and create a scenario where the worker could fall from an elevated height.,
38491,6/11/2020 8:30,Tree Felling - Personal Protective Equipment,Was the proper PPE worn?,Employee observed not wearing safety glasses while performing work tasks. Spoke with the crew and foreman at the time of the inspection.,
340592,4/14/2023 10:00,Housekeeping - Generation,Tripping Hazards,Identified 1 tripping hazard with some exposed nail heads. Contacted the scaffold contractor supervisor who got the issue corrected.,
279656,9/22/2022 12:21,Correct work area traffic control,Appropriate signs out,Could have possibly used road signs? Not required though. [NAME] did good job with cones on low traffic / speed road.,
87265,3/16/2021 11:46,PPE (Forestry),Herbicide Appropriate PPE,[NAME] spraying Garlon needs chemical resistant gloves. [NAME] understood importance and General [NAME] getting the right gloves.,
299972,11/28/2022 7:56,Fall protection used when required (Forestry),"Inspection of body harness / rope, Worn correctly","[NAME] was training new climber how to ascend while he was wearing another crew members harness. The harness did not fit the employee correctly and was sliding down the legs of the employee while aloft. An all stop was called, and the employee was brought down. The team was coached on proper fitting PPE and the spotter visually checking the climber.",
5542,4/17/2019 14:00,Complete job briefing given (Forestry),911 Location / Hospital Info,[NAME] did not have the address of the nearest clinic by their work area. Addressed with GF and he made corrections with the crew and job briefing.,
479705,7/2/2024 16:07,Equipment Operations,"Safety devices in use (seat belts, back-up alarm, cameras, horn, mirrors, lights, etc.)",[NAME] was excavated and the operator was not wearing his seatbelt. Stopped the operator and asked him to put on his seatbelt.,
256867,6/29/2022 12:00,Vehicle Set-up Correct,"Vehicle left secured, Wheel chocks used",100 ft. bucket truck was parked with trailer attached in parking lot. The combo was parked with no chocks and trailer sticking out blocking the drive through for other employees. I spoke with the foreman about this to take care of this issue.,
355088,5/25/2023 14:18,THA,Hazards and Mitigation Controls Identified,The crew's energy icon for gravity - suspended load - was identified on the THA but it did not list a mitigation for the hazard. A discussion was had over why it's important to do so.,
185257,10/18/2021 7:53,Effective Communication,3-Way Communication,crew needed more conversation between workers. Talked about the importance of knowing what others are doing,
216146,2/6/2022 9:56,Proper footwear,Other - Footwear,Employee did not have on ice cleats before walking the icy terrain. The employee was reminded of the importance of having on the necessary footwear to address the icy conditions.,
138000,9/24/2019 11:00,All applicable work procedures are followed,"Procedure being followed, work stopped",When lowering conductor it should have been positively controlled all the way down instead of dropped due to the location of businesses and pedistrians.,
285074,10/6/2022 15:05,Personal Safety (Forestry),"Ascending/Descending using 3 point contact, Hazard recognition",trimmer stood on the headache rack and put his bucket harness on. potential fall from heights due to the employee not having 3 points of contact.,contacted the GF. GF to have a stand down to review with the entire yard.
394563,9/19/2023 21:05,Drilled Excavations,"Appropriately protected Drilling Excavations (e.g., guardrail system, fall protection, hole covers, etc.)","Coaching moment, talked with [NAME] about barricading. The access was very narrow in a corn field and because of where the spoils had to go I recommended that they barricade the start of the work pad to eliminate unnecessary people enter the protected area, without the recommended barricade there is an open place for entry. Picture included for reference.",
333064,3/23/2023 13:34,Equipment Operations,Other - Equipment - Motion,"Excavator operator was not wearing seat belt while performing work with equipment. Smooth drum roller operator wasnt complying with PPE policy. Excavator operator was working alone on slip repair, no spotters in place.","Advised crew to comply with PPE, seatbelt policy and to use spotters."
193458,11/30/2021 14:21,Workplace Conditions Addressed,Line of fire,Noticed about 20 poles laying on a temporary pole rack without any balusters to keep poles from rolling. Talked with instructor about installing temporary balusters and he said he would have it done.,
455115,4/20/2024 13:49,Wire Pulling Operations,Wire pulling/stringing/tensioning equipment barricaded,The wire pulling EP zone has the inner and outer barricades installed to closely to each other. Plus half the T posts have caps while many do not. After speaking to the crew leader about the barricades. [NAME] had the workers reinstall the outer barricade farther out and installed rebar caps on all posts. This eliminated the deficiency. I even had a worker ask about why do they install two barricades. It was a great opportunity to explain the differences in potentials workers are exposed to during wire pulling activities and what is done to protect him and his co - workers from these hazards.,
176823,10/2/2021 11:29,PPE - Generation,Use of additional PPE,[NAME] recognized even though the drill id a very slow speed he still needed a face shield while he was buffing the braids,
478029,7/10/2024 10:50,PPE - Workforce,AEP Required (Standard),2 subcontractor mechanics were working on the jobsite repairing a bucket on an excavator. They were not wearing the PPE required by AEP,I talked with the foreman of the crew and suggested he get the mechanics the proper PPE.
11346,10/8/2019 9:30,Complete job briefing given (Forestry),Other / Job Briefing,"Job Brief was not at the "" "" Job Entry Location "" "" it was locked up in a manual truck. GF [NAME] [NAME] discussed the importance of this to his foreman [NAME] [NAME].",
282397,9/27/2022 9:16,Cover up activities,Cover other energized potentials,Employee aloft needed to cover an exposed cutout and arrester before cover the single - phase above. LCS coached the employee on the reasons why. Excellent job of coaching!,
453433,4/15/2024 12:49,Direct Controls - Motion,Other - Direct Controls - Motion,Team was attempting to make sure the IMI concrete truck was guided out when backing out of work area the first go was fine and IMI worker was letting them guide him out to keep personal and equipment safe. The second time the IMI driver seemed to be in a rush and did not wait to have a MJ crew member freed up to back them out safely with all the equipment in the area.,After speaking to the foreman he agreed that he will speak with IMI contractors as soon as they pull on site every time following this to make sure that all drivers understand that they must have a guide backing out and that they have to wait until they have it and are not supposed to back out until there is someone set to guide them out.
94583,4/13/2021 11:25,Fall protection used when required (Forestry),Other - Fall protection,"When we walked onto job site no extra climb line and saddle was out, asked crew to go get one and talked to them about the importance of always having one out in each yard / property they work.",
225685,3/29/2022 14:15,Climbing - Procedures,Was a tree assessment done before climbing (Is tree safe to climb)?,Trimmer failed to perform a proper tree assessment - limb was cut and fell below the primary / neutral striking the communication lines. GF addressed trimmer to ensure all falling limbs were hinged in a manner that they cleared all conductors and comm lines.,
117724,6/4/2021 13:30,Effective Communication,"3-Way Communication, Clarifying question, Clear and effective, Other - Communication",Observed Q. O. not using proper 3 way communication. Stopped the job and addressed on site. No Further action needed.,
210846,2/1/2022 8:19,Effective Communication,Other - Communication,The underground and over head crew did not communicate a work plan before working the job. Overhead crew had the hole hydro vacced on the opposite side of the primary riser.,
493353,9/11/2024 9:00,PPE,Other - PPE,When driving stake into the ground no gloves or glasses were worn. This again is a common issue on observations. We discussed that even though you can place many stakes in the ground w / o wearing gloves or glasses that there is still a risk in performing this action without this PPE,
249291,6/15/2022 22:11,PPE,Work gloves adequate,One of the crewmembers was not wearing gloves while performing work. I addressed the issue with the crewmember and it was corrected immediately.,
456039,4/23/2024 9:01,Excavation or Trench,Barricaded as necessary,A trench was open in the stations walk / drive path. The crew had completed pulling cables and had partially back filled. Some of the crew had moved to another section of the trench for a brief period of time and were going to come back and back fill this section. No barricades were in place and crew members were having to walk through the area to access the trailer. When brought to the crews attention they immediately used a skid steer and back filled.,
95324,4/13/2021 10:36,Stop When Uncertain,"Other - Stop When Uncertain, Questioning attitude",[NAME] members discussed they did not feel that the bucket truck was in a position that would have presented harm,
139972,10/15/2019 17:24,All applicable work procedures are followed,"Other - Procedures, Procedure being followed, work stopped, Proper procedure or tech work document used",Elbows terminated were wrong the tip size were for 1 / 0 cable and they had 2 cable had to change all six elbows,
270147,8/11/2022 10:20,Barricades around truck when required,Respect barricade,A couple of employees on the ground reached into the bed of bucket truck while bucket was in primary zone. I talked to SDS on site about what I saw and we spoke with the crew about staying away from the barricaded truck until lineman in bucket was clear of primary,
495348,9/18/2024 11:11,"Q2 - a. Clearance points, PPE requirements, and critical steps only need to be identified on the Job SAFER form if working on or near energized equipment?",[Notes Required for At-Risk Conditions],clearance points neeeded for crew members was discussed. In visit i did bring more awareness to tripping hazards. in a station outage things can get rushed trying to get customers power back but wanted to make awareness of that.,
396493,9/5/2023 8:05,PPE - Generation,"Proper Footwear, Protect Feet, Protect Head, Protect Hearing, Use Cut resistant gloves","Hazards of pinch point / crush points for hands, feet and body. Also noise protection because other units were running. [NAME] a chin strap if necessary to keep hard hat on. Anyone can stop the lift at any time. Pay attention not only to yourself but the person beside you",
430269,1/18/2024 10:42,Tree Trimming - Asplundh Audit,Were individuals along with equipment excluded from the drop zone?,Drop zone needed extended out due to falling debris falling outside of it and placing spotter in the line of fire.,
290431,10/26/2022 14:26,Proper Skinning Tools and Techniques Used,Cutting and skinning technique,AEP safety stopped apprentice and coached not to hand hold sawzall while sawing. Informed apprentice to place pipe on level ground to make cut,
234471,4/28/2022 8:52,Qualified observer,Line of sight,"due to location of work, it was sometime hard for the observer to see everything. Viewpoint was sometimes blocked by the bucket",
182217,10/18/2021 15:00,Housekeeping - Generation,Walking / Working Surfaces,Walking surfaces were uneven; this was covered during the pre job brief so that workers were looking out for STF potentials,
356429,5/30/2023 15:18,Complete job briefing given (Forestry),Job briefing conducted and documented,No job briefing was conducted for the Make Safe Oak the crew was working on. [NAME] presented a briefing from another work location that day. Spoke with the crews about making sure they do a job briefing anytime their is a significant scope change. I stayed until another briefing was complete for that work location.,
332783,3/22/2023 14:35,Equipment Operations,Designated Spotter as needed (maintaining adequate clearance),Subcontractor Great [NAME]. Equipment was observed operating in reverse without a spotter. A conversation was held with onsite management. The crew will create a plan for spotter usage.,
478152,6/19/2024 9:25,Heat Stress - Prevention,Workers aware of ways to acclimatize to hot working conditions,"Working Off System storm, Hard to get acclimated to temperatures and humidity in different working environments.","[NAME] took breaks when needed, got in vehicle with AC to cool off, continued to drink water and electrolytes throughout the day."
229894,4/14/2022 9:20,All applicable work procedures are followed,Other - Procedures,Gate was left unlocked on arrival. Coached driver on policy for gates and sub stations. Employee made corrections and locked gate.,
485449,8/12/2024 10:12,Housekeeping.,Other - Housekeeping:,Finding areas where water bottles and wrappers are being left on the ROW. The landowner does frequent the property after crew has left.,I spoke with the on - site supervisor to remind crew members to pick up trash prior to moving work locations.
79049,2/9/2021 10:45,Vehicle Set-up Correct,Wheel chocks used,"Wheel chocks down but not under tires where they should be, I did bring to there attention and chocks were placed under tires",
70273,12/21/2020 15:00,Personal Safety,Other - Personal Safety,[NAME] failed to recognize the hazards of cone placement on double yellow line without warning drivers of work zone and by not having on proper PPE,
38431,6/4/2020 13:21,Vehicle Operating Condition,"Vehicle loading, truck trailer appropriate",make sure to secure all material including trash that is in the belly of the trucks so it doenst fall or blow out while moving,
386093,8/25/2023 10:01,Housekeeping - Generation,Cleanliness,The employees used a cart to remove / install new cylinder. The floor was dirty making the cart hard to push. employees stopped and cleaned the floor before proceeding.,
481280,7/26/2024 11:31,Climbing - Job Briefing,Did crew determine task assignments?,No spotter was listed on job briefing. [NAME] communicated that they spotted for each other but forgot to include it on the job briefing. [NAME] was coached to make sure they always discuss crew assignments and list them on the briefing. Spotters was then identified and listed on the briefing before work resumed.,
212903,2/15/2022 11:19,"Did you recognize additional slip, trip, or fall hazards that had not already been recognized and mitigated? If so, please select or describe these hazards in the At-Risk notes.","Other slip, trip, fall: please describe additional hazards, Surface","We discussed the need to document the slipping, and tripping hazards on the job site, like loose gravel, slipping and falling hazard when climbing the ladder.",
258248,7/14/2022 9:52,THA,Hazards and mitigation controls identified (THA),"Observed THA written with generalized hazards listed ( slips trips, falls & cuts, scrapes, & abrasions ). Recommend identifying specific hazards for our tasks.",
490960,8/6/2024 8:30,Cell phone policy followed / Attentive Driving Guideline (Forestry),Personal cell phone use,"Ground hand on one of the crews was sitting behind shed in customer's backyard on their phone. Asked them to put it away, as we were near a code red and situational awareness is very important in these situations.",
83926,3/8/2021 14:00,Personal Safety,Ascending/Descending using 3 point contact,Employee did not use three - points of contact when exiting the back of the van. The employee was carrying a hand coil of copper wire.,
130858,8/17/2021 13:30,Correct work area traffic control,Tapers and buffers compliant,Taper and buffer were not adequate. [NAME] provide a proper taper and buffer when asked by safety professional. Coached and corrected at job site.,
364534,6/20/2023 15:56,"Did you recognize additional slip, trip, or fall hazards that had not already been recognized and mitigated? If so, please select or describe these hazards in the At-Risk notes.",Housekeeping,Requested the foramen to have someone remove brush from area where line workers would be working once they finished as it would create a tripping concern.,
360296,6/8/2023 7:05,Equipment Operations,Designated Spotter as needed (maintaining adequate clearance),"A crew member drove around 40 feet pulling up to the substation nose first to use the Porta [NAME]. This would have maybe been a five to ten second walk but the crew member chose to get in his truck and drive this very short distance in the parking area instead of walking. [NAME] was previously parked in a good location and had taken a pull through opportunity. After using the Porta Joh he got in the truck and backed without a spotter and drove the 40 feet back to the parking spot, there were numerous people on site that were available to be spotters. Some of the NRE team members onsite thought it was ok to back without a spotter if there is a back up camera available. We just held a PSEM this morning discussing spotter usage with the entire team. The crew was stopped and everyone was brought back together to be coached on spotter usage.","Please Review AEP Transmissio T & C's. 10. 4. 3. 4 Backing motor vehicles should be avoided wherever possible, such as by taking pull through opportunities. If backing cannot be avoided Contractor Personnel should back upon arrival. A second Contractor Personnel, if present, shall be used as a spotter while backing."
381075,8/9/2023 12:00,Concrete/Portland Cement,Other - Concrete/Portland Cement,"[NAME] did an excellent job of noting the hazards involved with their concrete pour on the THA. It was recommended that the THA include information on the crew's on - site concrete neutralization kit, it's location, and application, in the event anyone had contact to the skin in order to prevent concrete / chemical burns. All employees knew where their kit was located on the jobsite.",
385299,8/22/2023 8:28,PPE,Other - PPE,Hi Viz reflective vest misplaced. Utilized truck spare [NAME] for flagger to use. Prevented him from having to use stuffy rain jacket in hi heat.,
488475,8/23/2024 12:06,Complete job briefing given,All members of team present,I arrived on site after initial job briefing but [NAME] McCoy called an all - stop until I was brought up to speed.,
324839,2/14/2023 14:25,JSHA Documentation,Other - JSHA Documentation - Telecom,"[NAME] page of THA was not completed. Other fields on the PJB cover similar information, but we must ensure every applicable field is completed.",
311686,1/10/2023 11:50,THA,Reviewed with all parties on-site,A couple of crews on site near each other doing different things with 2 different THAs but did not have signatures from everyone in there area.,Well written THA just needed everyone to sign.
47119,8/6/2020 9:02,Vehicle Operating Condition (Forestry),Warning and signaling devices,Drive side rear flasher was not working. [NAME] was aware of this and stated he informed the GF of this issue.,
283113,9/30/2022 9:50,Equipment Operations near Energized Lines,Documented planning meeting for working within Trigger Distances,[NAME] had a man lift not in use was grounded. Part of the bay is energized. [NAME] did not have an addendum I completed,Coached crew that when encroaching trigger distance to have addendum I completed. One was completed immediately
329631,3/8/2023 11:33,"Did you recognize additional slip, trip, or fall hazards that had not already been recognized and mitigated? If so, please select or describe these hazards in the At-Risk notes.","Other slip, trip, fall: please describe additional hazards","[NAME] bucket was set up next to a recently rebuilt culvert, guardrails have yet to be installed. [NAME] never identified this as being a fall hazard. We re briefed and placed some cones along edge and completed work in area.",
225875,3/29/2022 10:46,Repetitive Tasks,"Gripping for long periods, Holding heavy or awkward items, Neck strain","Observed that an overexertion strain was evident for gripping and grasping, holding the heavy awkward weed eater, and causing neck strain for the employee. This is a task that is ongoing and takes a lot of time or days to complete.",
476807,7/3/2024 11:11,Switching,~Other - Switching,"Servicer was confused with the position of [NAME] pushbutton for CB J2. We stopped and talked through what the normal position should be and discussed the red dot located on the label. Also, discussed with Servicer to wait for concurrent verification from [NAME] Operator prior to performing the step.",
7307,6/25/2019 11:30,PPE (Forestry),Work gloves adequate,"[NAME] dragging brush and preparing to chip with gloves with cuffs. I explianed to [NAME] that those particular gloves were a snagging hazard, and he removed them immediately.",
250349,6/15/2022 14:45,Correct work area traffic control,Appropriate signs out,"The [NAME] was provided some coaching as they didnt have any warning signs in place. They needed at least a [NAME] Ahead sign out, as the Trucks were parked on the shoulder.",
428247,1/11/2024 12:56,Equipment Operations,Other - Equipment - Motion,There is a drop off / edge after the access roads that drops off significantly. Would like to see orange fence or some other means of warning go all the way around to prevent a vehicle from driving off edge,
446799,3/21/2024 10:30,All applicable work procedures are followed,"Procedure being followed, work stopped",Reminded crew of our high - risk policy for moving conductors over roadways and had them use secondary method of holding conductors so that they did not fall into moving traffic if a grip slipped loose.,
287240,10/14/2022 14:45,PPE (Forestry),"Hearing protection adequate, Work gloves adequate","Upon arrival, saw operator was not wearing safety glasses or hearing protection and stopping to flush debris out of his eye","Talked with crew and notified GF that came right over, foreman did have safety glasses with him and put them on. [NAME] his eye was ok after flushing it out."
383482,8/15/2023 12:44,PPE - Workforce,"AEP Required (Standard), Employees wearing gloves appropriate for the hazard (e.g., cut resistant, dielectric, etc.)",[NAME] to the heat a few had forgotten to throw gloves back on. [NAME] immediately began to remind each other to put on glove before returning to work.,
405040,10/19/2023 17:02,Traffic Control,Traffic warning signage in Compliance,Noted Shoulder work / vehicles parked next to the roadway with minor encroachment. I spoke to [NAME] and recommended that he add road signs on each end of the work zone as shown in the MUTCDs TA - 6.,[NAME] understood my request and said he would add the required signs.
